teamName,enrollment,class,y,headSchool,co-opingSchools,district,latitude,longitude,rank0g,rank1g,rank2g,rank3g,rank4g,rank5g,rank6g,rank7g,rank8g,rank9g,sqmg,rank10g,rankLast3g,rankAvgg,rank0b,rank1b,rank2b,rank3b,rank4b,rank5b,rank6b,rank7b,rank8b,rank9b,sqmb,rank10b,rankLast3b,rankAvgb
Janesville,86,1A,2019,Janesville ,,Cedar Falls,42.6438713,-92.4587970,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lake Mills,158,1A,2019,Lake Mills ,,Cedar Falls,43.4193290,-93.5325269,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"MFL MarMac, Monona",147,1A,2019,"MFL MarMac, Monona",,Cedar Falls,43.0516494,-91.3893041,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Tama, Traer",114,1A,2019,"North Tama, Traer ",,Cedar Falls,42.1936007,-92.4654688,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Northwood-Kensett,120,1A,2019,Northwood-Kensett ,,Cedar Falls,43.4441245,-93.2210371,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Postville,172,1A,2019,Postville ,,Cedar Falls,43.0847020,-91.5682015,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Riceville,79,1A,2019,Riceville ,,Cedar Falls,43.3638571,-92.5540687,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Rockford,108,1A,2019,Rockford ,,Cedar Falls,43.0521922,-92.9485301,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Tripoli,95,1A,2019,Tripoli ,,Cedar Falls,42.8080363,-92.2582341,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Turkey Valley, Jackson Junction",85,1A,2019,"Turkey Valley, Jackson Junction ",,Cedar Falls,43.1149733,-92.0323906,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Valley Lutheran ,38,1A,2019,"Valley Lutheran, Cedar Falls ",,Cedar Falls,42.496,-92.420,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Wapsie Valley, Fairbank",129,1A,2019,"Wapsie Valley, Fairbank ",,Cedar Falls,42.6391512,-92.0471199,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Alburnett,149,1A,2019,Alburnett ,,Iowa City (Regina),42.1483285,-91.6185065,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Columbus Community, Columbus Junction",157,1A,2019,"Columbus Community, Columbus Junction ",,Iowa City (Regina),41.2786364,-91.3598775,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Easton Valley,118,1A,2019,Easton Valley ,,Iowa City (Regina),42.0502844,-90.3960275,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"English Valleys, North English",97,1A,2019,"English Valleys, North English ",,Iowa City (Regina),41.5138978,-92.0762891,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Highland, Riverside",139,1A,2019,"Highland, Riverside ",,Iowa City (Regina),41.4797413,-91.5812759,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Hillcrest Academy,56,1A,2019,Hillcrest Academy,,Iowa City (Regina),41.54,-91.788,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"HLV, Victor",77,1A,2019,"HLV, Victor ",,Iowa City (Regina),41.7316675,-92.2979615,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Holy Trinity Catholic, Fort Madison",76,1A,2019,"Holy Trinity Catholic, Fort Madison",,Iowa City (Regina),40.6366,-91.342,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Isaac Newton Christian Academy,63,1A,2019,Isaac Newton Christian Academy ,Cedar Valley Christian ,Iowa City (Regina),42.006,-91.6722,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Keota,63,1A,2019,Keota ,,Iowa City (Regina),41.3639015,-91.9537859,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lone Tree,120,1A,2019,Lone Tree ,,Iowa City (Regina),41.4880775,-91.4259940,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Mediapolis,179,1A,2019,Mediapolis ,,Iowa City (Regina),41.0080904,-91.1640369,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Midland, Wyoming",108,1A,2019,"Midland, Wyoming ",,Iowa City (Regina),42.0591801,-91.0073701,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Cedar, Stanwood",151,1A,2019,"North Cedar, Stanwood ",,Iowa City (Regina),41.8930715,-91.1507132,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Rivermont Collegiate, Bettendorf",34,1A,2019,"Rivermont Collegiate, Bettendorf ",,Iowa City (Regina),41.529,-90.505,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Van Buren Community,167,1A,2019,Van Buren Community ,,Iowa City (Regina),40.7303057,-91.9623949,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"WACO, Wayland",103,1A,2019,"WACO, Wayland ",,Iowa City (Regina),41.1472434,-91.6607207,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Wapello,157,1A,2019,Wapello ,,Iowa City (Regina),41.1814193,-91.1854273,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Winfield-Mt. Union,112,1A,2019,Winfield-Mt. Union ,,Iowa City (Regina),41.1230830,-91.4412683,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Baxter,78,1A,2019,Baxter ,,Marshalltown,41.8260998,-93.1515905,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Belle Plaine,129,1A,2019,Belle Plaine ,,Marshalltown,41.8955529,-92.2757404,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Belmond-Klemme,174,1A,2019,Belmond-Klemme ,,Marshalltown,42.84608,-93.6140991,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"BGM, Brooklyn",116,1A,2019,"BGM, Brooklyn ",,Marshalltown,41.7315717,-92.4453638,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Bishop Garrigan, Algona",114,1A,2019,"Bishop Garrigan, Algona ",,Marshalltown,43.08,-94.213,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Colo-Nesco,103,1A,2019,Colo-Nesco ,,Marshalltown,42.0177653,-93.3152072,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"GMG, Garwin",118,1A,2019,"GMG, Garwin ",,Marshalltown,42.0935999,-92.6757523,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Lynnville-Sully,108,1A,2019,Lynnville-Sully ,,Marshalltown,41.5783288,-92.8449164,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Melcher-Dallas,65,1A,2019,Melcher-Dallas ,,Marshalltown,41.2249966,-93.2413191,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Meskwaki Settlement School,57,1A,2019,Meskwaki Settlement School ,,Marshalltown,41.992,-92.647,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Montezuma,113,1A,2019,Montezuma ,,Marshalltown,41.5858340,-92.5274091,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Moravia,86,1A,2019,Moravia ,,Marshalltown,40.8916777,-92.8190852,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Moulton-Udell,41,1A,2019,Moulton-Udell ,,Marshalltown,40.6858857,-92.6771915,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"North Mahaska, New Sharon",122,1A,2019,"North Mahaska, New Sharon ",,Marshalltown,41.4666683,-92.6474129,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
Sigourney,135,1A,2019,Sigourney ,,Marshalltown,41.3333445,-92.2046255,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"Southeast Warren, Liberty Center",115,1A,2019,"Southeast Warren, Liberty Center ",,Marshalltown,41.2041670,-93.5000000,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
"West Hancock, Britt",145,1A,2019,"West Hancock, Britt ",,Marshalltown,43.0977399,-93.8018875,21,21,21,21,21,21,21,21,21,21,,,21.00,21.00,21,21,21,21,21,21,21,21,21,,,,21.00,21.00
